"address","property_tax_new","property_tax_old","appraisal_new","assessment_new","appraisal_old","assessment_old"
"26 DUDLEY ST",10098.0565,6551.414099999999,309500,216650,168300,117809.99999999999
"32 DUDLEY ST",5572.691599999999,3425.5759999999996,170800,119559.99999999999,88000,61599.99999999999
"34 DUDLEY ST",11830.5502,8248.6313,362600,253819.99999999997,211900,148330
"35 DUDLEY ST",5559.640799999999,3468.3956999999996,170400,119279.99999999999,89100,62369.99999999999
"37 DUDLEY ST",5925.0632,3565.7131999999997,181600,127119.99999999999,91600,64119.99999999999
"38 DUDLEY ST",7435.6933,4612.8495,227900,159530,118500,82950
"41 DUDLEY ST",7073.5336,5227.8961,216800,151760,134300,94010
"44 DUDLEY ST",10685.3425,7306.597900000001,327500,229250,187700,131390
"45 DUDLEY ST",9677.1682,7038.001599999999,296600,207620,180800,126559.99999999999
"48 DUDLEY ST",6261.1213,3526.7861999999996,191900,134330,90600,63419.99999999999
"51 DUDLEY ST",10071.9549,7034.108899999999,308700,216090,180700,126489.99999999999
"54 DUDLEY ST",6391.6293,4355.9313,195900,137130,111900,78330
"56 DUDLEY ST",8084.9706,5364.1406,247800,173460,137800,96460
"57 DUDLEY ST",4636.2967,4998.2267999999995,142100,99470,128400,89880
"60 DUDLEY ST",809.1496,583.905,24800,17360,15000,10500
"61 DUDLEY ST",760.2090999999998,1012.102,23300,16309.999999999998,26000,18200
"19 DUDLEY ST #UA",3804.3082000000004,3168.6578,116600,81620,81400,56980
"29 DUDLEY ST #UA",3804.3082000000004,3168.6578,116600,81620,81400,56980
"19 DUDLEY ST #UB",3804.3082000000004,3168.6578,116600,81620,81400,56980
"29 DUDLEY ST #UB",3804.3082000000004,3168.6578,116600,81620,81400,56980
"19 DUDLEY ST #UC",3804.3082000000004,3168.6578,116600,81620,81400,56980
"29 DUDLEY ST #UC",3804.3082000000004,3168.6578,116600,81620,81400,56980
"30 DUEL DR",11974.108999999999,8957.1027,367000,256899.99999999997,230100,161070
"31 DUEL DR",15657.697299999998,12943.227499999997,479900,335930,332500,232749.99999999997
"42 DUEL DR",12241.6504,10724.3885,375200,262640,275500,192850
"43 DUEL DR",11256.314999999999,8809.1801,345000,241499.99999999997,226300,158410
"55 DUEL DR",12747.3689,9832.9602,390700,273490,252600,176820
"60 DUEL DR",11422.7127,9042.7421,350100,245069.99999999997,232300,162610
"65 DUEL DR",13367.2819,10389.616300000002,409700,286790,266900,186830
"70 DUEL DR",13553.2558,12168.580199999999,415400,290780,312600,218820
"71 DUEL DR",13204.1469,10989.0921,404700,283290,282300,197610
"76 DUEL DR",15344.4781,12262.005,470300,329210,315000,220500
"80 DUEL DR",11957.795499999998,9323.0165,366500,256549.99999999997,239500,167650
"15 DUNBAR HILL RD",10897.417999999998,8945.4246,334000,233799.99999999997,229800,160860
"25 DUNBAR HILL RD",8603.7399,6508.594399999999,263700,184590,167200,117039.99999999999
"35 DUNBAR HILL RD",8505.858900000001,7123.640999999999,260700,182490,183000,128099.99999999999
"45 DUNBAR HILL RD",10535.258300000001,8454.9444,322900,226030,217200,152040
"71 DUNBAR HILL RD",2486.1774,3223.1555999999996,76200,53340,82800,57959.99999999999
"245 DUNBAR HILL RD",150.0842,214.09849999999997,4600,3220,5500,3849.9999999999995
"255 DUNBAR HILL RD",10770.1727,8863.6779,330100,231069.99999999997,227700,159390
"265 DUNBAR HILL RD",9797.8881,8933.7465,300300,210210,229500,160650
"275 DUNBAR HILL RD",9602.1261,7353.3103,294300,206010,188900,132230
"285 DUNBAR HILL RD",9497.7197,7684.1898,291100,203770,197400,138180
"297 DUNBAR HILL RD",8930.009900000001,7279.348999999999,273700,191590,187000,130899.99999999999
"300 DUNBAR HILL RD",12554.8696,8622.3305,384800,269360,221500,155050
"305 DUNBAR HILL RD",10107.8446,7676.4044,309800,216860,197200,138040
"315 DUNBAR HILL RD",10192.6748,8053.9963,312400,218680,206900,144830
"320 DUNBAR HILL RD",11129.0697,8766.3604,341100,238769.99999999997,225200,157640
"325 DUNBAR HILL RD",8522.1724,6644.8389,261200,182840,170700,119489.99999999999
"335 DUNBAR HILL RD",10078.480300000001,7824.327,308900,216230,201000,140700
"340 DUNBAR HILL RD",10652.7155,8700.1845,326500,228550,223500,156450
"345 DUNBAR HILL RD",12718.0046,10685.4615,389800,272860,274500,192150
"354 DUNBAR HILL RD",10029.5398,7625.7993,307400,215180,195900,137130
"355 DUNBAR HILL RD",11846.8637,8700.1845,363100,254169.99999999997,223500,156450
"360 DUNBAR HILL RD",10372.123300000001,7684.1898,317900,222530,197400,138180
"361 DUNBAR HILL RD",12910.5039,11257.688400000001,395700,276990,289200,202440
"375 DUNBAR HILL RD",10071.9549,7999.4985,308700,216090,205500,143850
"380 DUNBAR HILL RD",8202.4278,6310.0667,251400,175980,162100,113470
"419 DUNBAR HILL RD",NA,44785.5135,NA,NA,1150500,805350
"428 DUNBAR HILL RD",8417.766,8672.935599999999,258000,180600,222800,155960
"435 DUNBAR HILL RD",11070.341099999998,8536.6911,339300,237509.99999999997,219300,153510
"440 DUNBAR HILL RD",13735.967,11386.1475,421000,294700,292500,204750
"445 DUNBAR HILL RD",10545.046400000001,8789.7166,323200,226240,225800,158060
"450 DUNBAR HILL RD",274.0668,225.77659999999997,8400,5880,5800,4059.9999999999995
"455 DUNBAR HILL RD",10939.833099999998,8754.6823,335300,234709.99999999997,224900,157430
"460 DUNBAR HILL RD",10176.3613,7594.6577,311900,218330,195100,136570
"465 DUNBAR HILL RD",10150.259699999999,7929.4299,311100,217770,203700,142590
"475 DUNBAR HILL RD",10192.6748,7894.3956,312400,218680,202800,141960
"495 DUNBAR HILL RD",3458.462,2868.9199,106000,74200,73700,51590
"505 DUNBAR HILL RD",15814.3069,13745.123699999998,484700,339290,353100,247169.99999999997
"515 DUNBAR HILL RD",15422.7829,12892.622399999998,472700,330890,331200,231839.99999999997
"520 DUNBAR HILL RD",12039.362999999998,9428.1194,369000,258299.99999999997,242200,169540
"525 DUNBAR HILL RD",18235.2303,15932.8211,558900,391230,409300,286510
"545 DUNBAR HILL RD",12045.888399999998,10362.367400000001,369200,258439.99999999997,266200,186340
"556 DUNBAR HILL RD",9885.981,8030.6401,303000,212100,206300,144410
"560 DUNBAR HILL RD",22385.384699999995,18556.5009,686100,480269.99999999994,476700,333690
"570 DUNBAR HILL RD",8750.5614,6714.907499999999,268200,187740,172500,120749.99999999999
"571 DUNBAR HILL RD",14215.5839,12487.7816,435700,304990,320800,224560
"576 DUNBAR HILL RD",16434.2199,14434.131599999997,503700,352590,370800,259559.99999999997
"580 DUNBAR HILL RD",16773.540699999998,14838.9724,514100,359870,381200,266840
"583 DUNBAR HILL RD",10564.622599999999,8509.4422,323800,226660,218600,153020
"610 DUNBAR HILL RD",11448.814299999998,9105.025300000001,350900,245629.99999999997,233900,163730
"615 DUNBAR HILL RD",12766.945099999999,10580.3586,391300,273910,271800,190260
"620 DUNBAR HILL RD",316.4819,264.7036,9700,6790,6800,4760
"640 DUNBAR HILL RD",8877.8067,7166.4607,272100,190470,184100,128869.99999999999
"665 DUNBAR HILL RD",16241.720599999999,13464.849299999998,497800,348460,345900,242129.99999999997
"695 DUNBAR HILL RD",4740.7031,4499.9612,145300,101710,115600,80920
"700 DUNBAR HILL RD",9700.007099999999,10950.1651,297300,208110,281300,196910
"745 DUNBAR HILL RD",1079.9537,1405.2647,33100,23170,36100,25270
"775 DUNBAR HILL RD",12417.8362,9381.407,380600,266420,241000,168700
"810 DUNBAR HILL RD",23126.0176,23001.9643,708800,496159.99999999994,590900,413630
"835 DUNBAR HILL RD",24617.0715,26197.870999999996,754500,528150,673000,471099.99999999994
"854 DUNBAR HILL RD",11158.433999999997,8855.8925,342000,239399.99999999997,227500,159250
"860 DUNBAR HILL RD",12884.402300000002,9875.7799,394900,276430,253700,177590
"890 DUNBAR HILL RD",12515.7172,11440.6453,383600,268520,293900,205730
"893 DUNBAR HILL RD",19765.4366,17493.7938,605800,424060,449400,314580
"894 DUNBAR HILL RD",14838.7596,11152.5855,454800,318360,286500,200550
"896 DUNBAR HILL RD",9706.5325,7703.6533,297500,208250,197900,138530
"897 DUNBAR HILL RD",14535.3285,11685.885400000001,445500,311850,300200,210140
"905 DUNBAR HILL RD",23967.794199999997,18700.5308,734600,514219.99999999994,480400,336280
"910 DUNBAR HILL RD",10916.9942,8342.0561,334600,234219.99999999997,214300,150010
"920 DUNBAR HILL RD",12479.8275,9758.9989,382500,267750,250700,175490
"925 DUNBAR HILL RD",16280.873,14177.213399999999,499000,349300,364200,254939.99999999997
"932 DUNBAR HILL RD",9840.303199999998,7380.559200000001,301600,211120,189600,132720
"934 DUNBAR HILL RD",11478.178599999997,8851.999800000001,351800,246259.99999999997,227400,159180
"938 DUNBAR HILL RD",13037.749199999998,8474.4079,399600,279720,217700,152390
"946 DUNBAR HILL RD",14336.303800000002,11452.323400000001,439400,307580,294200,205940
"955 DUNBAR HILL RD",13882.7885,12102.4043,425500,297850,310900,217630
"958 DUNBAR HILL RD",13233.511199999999,9572.149300000001,405600,283920,245900,172130
"966 DUNBAR HILL RD",11014.875199999999,8240.8459,337600,236319.99999999997,211700,148190
"975 DUNBAR HILL RD",4590.6189,4464.9269,140700,98490,114700,80290
"990 DUNBAR HILL RD",13481.4764,11168.1563,413200,289240,286900,200830
"1005 DUNBAR HILL RD",14209.0585,12853.695399999999,435500,304850,330200,231139.99999999997
"1023 DUNBAR HILL RD",3726.0034,3635.7817999999993,114200,79940,93400,65379.99999999999
"1030 DUNBAR HILL RD",11954.532799999999,10806.135199999999,366400,256479.99999999997,277600,194320
"1034 DUNBAR HILL RD",10153.5224,8124.0649,311200,217840,208700,146090
"1041 DUNBAR HILL RD",3611.8089,3483.9664999999995,110700,77490,89500,62649.99999999999
"1044 DUNBAR HILL RD",12907.241199999999,10377.938199999999,395600,276920,266600,186620
"1050 DUNBAR HILL RD",1526.9435999999998,1265.1275,46800,32759.999999999996,32500,22750
"1070 DUNBAR HILL RD",11386.822999999999,8707.9699,349000,244299.99999999997,223700,156590
"1075 DUNBAR HILL RD",13106.2659,9903.0288,401700,281190,254400,178080
"1080 DUNBAR HILL RD",11993.6852,9502.080699999999,367600,257319.99999999997,244100,170870
"1085 DUNBAR HILL RD",11686.991399999999,9140.0596,358200,250739.99999999997,234800,164360
"1090 DUNBAR HILL RD",11484.703999999998,9077.7764,352000,246399.99999999997,233200,163240
"1095 DUNBAR HILL RD",10793.011599999998,8458.837099999999,330800,231559.99999999997,217300,152110
"1100 DUNBAR HILL RD",11135.595099999999,8525.013,341300,238909.99999999997,219000,153300
"1112 DUNBAR HILL RD",10394.9622,8159.099200000001,318600,223020,209600,146720
"1117 DUNBAR HILL RD",10584.1988,8233.0605,324400,227080,211500,148050
"1120 DUNBAR HILL RD",10655.9782,8505.5495,326600,228620,218500,152950
"1125 DUNBAR HILL RD",12306.904400000001,10319.5477,377200,264040,265100,185570
"1133 DUNBAR HILL RD",16858.370899999998,14901.2556,516700,361690,382800,267960
"1134 DUNBAR HILL RD",9739.1595,7913.8591,298500,208950,203300,142310
"1140 DUNBAR HILL RD",9713.0579,7730.9022,297700,208390,198600,139020
"1141 DUNBAR HILL RD",10554.8345,8361.5196,323500,226450,214800,150360
"1155 DUNBAR HILL RD",9882.7183,7758.1511,302900,212030,199300,139510
"1156 DUNBAR HILL RD",11673.940599999998,9393.0851,357800,250459.99999999997,241300,168910
"1165 DUNBAR HILL RD",10890.892599999997,8645.686699999998,333800,233659.99999999997,222100,155470
"1175 DUNBAR HILL RD",15076.936699999998,12635.7042,462100,323470,324600,227220
"1180 DUNBAR HILL RD",12835.461800000001,9938.0631,393400,275380,255300,178710
"1185 DUNBAR HILL RD",14284.1006,11277.1519,437800,306460,289700,202790
"1195 DUNBAR HILL RD",13912.1528,11685.885400000001,426400,298480,300200,210140
"1200 DUNBAR HILL RD",11824.0248,9560.4712,362400,253679.99999999997,245600,171920
"1205 DUNBAR HILL RD",9546.660199999998,7909.9664,292600,204820,203200,142240
"1208 DUNBAR HILL RD",12323.2179,9704.5011,377700,264390,249300,174510
"1221 DUNBAR HILL RD",9191.0259,7505.125599999999,281700,197190,192800,134960
"1233 DUNBAR HILL RD",13494.527199999999,10802.2425,413600,289520,277500,194250
"1234 DUNBAR HILL RD",10078.480300000001,7084.713999999999,308900,216230,182000,127399.99999999999
"1235 DUNBAR HILL RD",13295.5025,10751.6374,407500,285250,276200,193340
"1244 DUNBAR HILL RD",10551.571800000002,8587.296199999999,323400,226380,220600,154420
"1245 DUNBAR HILL RD",12838.7245,9840.7456,393500,275450,252800,176960
"1250 DUNBAR HILL RD",10613.5631,8525.013,325300,227710,219000,153300
"1253 DUNBAR HILL RD",10848.477499999997,8517.2276,332500,232749.99999999997,218800,153160
"1265 DUNBAR HILL RD",14244.948199999999,11611.9241,436600,305620,298300,208810
"1285 DUNBAR HILL RD",12473.302099999999,9949.741199999999,382300,267610,255600,178920
"1295 DUNBAR HILL RD",11076.866499999998,8563.94,339500,237649.99999999997,220000,154000
"1300 DUNBAR HILL RD",12333.006,8848.1071,378000,264600,227300,159110
"1314 DUNBAR HILL RD",12799.5721,9813.4967,392300,274610,252100,176470
"1315 DUNBAR HILL RD",10016.489,7715.3314,307000,214900,198200,138740
"1319 DUNBAR HILL RD",11324.831699999999,8898.7122,347100,242969.99999999997,228600,160020
"1341 DUNBAR HILL RD",9200.814,7174.2460999999985,282000,197400,184300,129009.99999999999
"1345 DUNBAR HILL RD",9850.0913,7789.2927,301900,211330,200100,140070
"1355 DUNBAR HILL RD",10763.647299999999,8960.9954,329900,230929.99999999997,230200,161140
"1375 DUNBAR HILL RD",293.643,245.2401,9000,6300,6300,4410
"1380 DUNBAR HILL RD",11673.940599999998,9579.9347,357800,250459.99999999997,246100,172270
"1391 DUNBAR HILL RD",10868.053699999999,8945.4246,333100,233169.99999999997,229800,160860
"1400 DUNBAR HILL RD",11243.2642,8894.8195,344600,241219.99999999997,228500,159950
"1405 DUNBAR HILL RD",13249.8247,9879.6726,406100,284270,253800,177660
"1410 DUNBAR HILL RD",15850.1966,12604.5626,485800,340060,323800,226660
"1425 DUNBAR HILL RD",13977.4068,11584.6752,428400,299880,297600,208320
"1430 DUNBAR HILL RD",13321.6041,10880.0965,408300,285810,279500,195650
"1439 DUNBAR HILL RD",6221.968900000001,6422.954999999999,190700,133490,165000,115499.99999999999
"1440 DUNBAR HILL RD",3425.835,2841.671,105000,73500,73000,51100
"1447 DUNBAR HILL RD",12841.9872,9576.042,393600,275520,246000,172200
"1448 DUNBAR HILL RD",10241.615300000001,8513.3349,313900,219730,218700,153090
"1456 DUNBAR HILL RD",12897.453099999999,9969.204699999998,395300,276710,256100,179270
"1459 DUNBAR HILL RD",12359.1076,9774.5697,378800,265160,251100,175770
"1464 DUNBAR HILL RD",11158.433999999997,8715.7553,342000,239399.99999999997,223900,156730
"1472 DUNBAR HILL RD",12603.810099999999,10965.7359,386300,270410,281700,197190
"1475 DUNBAR HILL RD",9171.4497,7641.370099999999,281100,196770,196300,137410
"1485 DUNBAR HILL RD",10336.2336,8256.4167,316800,221760,212100,148470
"1490 DUNBAR HILL RD",15073.674,12857.588099999997,462000,323400,330300,231209.99999999997
"1493 DUNBAR HILL RD",10492.8432,8809.1801,321600,225120,226300,158410
"1500 DUNBAR HILL RD",16558.2025,13285.785099999997,507500,355250,341300,238909.99999999997
"1505 DUNBAR HILL RD",10868.053699999999,9062.2056,333100,233169.99999999997,232800,162960
"1515 DUNBAR HILL RD",11158.433999999997,8715.7553,342000,239399.99999999997,223900,156730
"1517 DUNBAR HILL RD",10036.0652,8162.9919,307600,215320,209700,146790
"1520 DUNBAR HILL RD",3230.073,2678.1776,99000,69300,68800,48160
"1525 DUNBAR HILL RD",9996.9128,7812.6489,306400,214480,200700,140490
"1530 DUNBAR HILL RD",11184.535599999997,10152.1616,342800,239959.99999999997,260800,182560
"1534 DUNBAR HILL RD",15641.3838,16407.7305,479400,335580,421500,295050
"1537 DUNBAR HILL RD",11618.474699999999,8563.94,356100,249269.99999999997,220000,154000
"1544 DUNBAR HILL RD",13155.206400000001,12277.5758,403200,282240,315400,220780
"1545 DUNBAR HILL RD",10003.438199999999,7995.605799999999,306600,214620,205400,143780
"450 DUNBAR HILL RD REAR",12669.0641,10564.7878,388300,271810,271400,189980
"450 DUNBAR HILL RD REAR",12669.0641,10564.7878,388300,271810,271400,189980
"1 DUNBAR LA",16907.3114,16228.6663,518200,362740,416900,291830
"2 DUNBAR LA",13510.840699999999,10319.5477,414100,289870,265100,185570
"11 DUNBAR LA",14933.3779,12678.5239,457700,320390,325700,227990
"16 DUNBAR LA",13638.086,10685.4615,418000,292600,274500,192150
"17 DUNBAR LA",13080.1643,10486.9338,400900,280630,269400,188580
"27 DUNBAR LA",13765.331300000002,11911.662,421900,295330,306000,214200
"36 DUNBAR LA",14225.372,11343.327800000001,436000,305200,291400,203980
"37 DUNBAR LA",13801.221,11619.7095,423000,296100,298500,208950
"46 DUNBAR LA",15279.2241,13083.364699999998,468300,327810,336100,235269.99999999997
"47 DUNBAR LA",12496.141,10012.0244,383000,268100,257200,180040
"56 DUNBAR LA",12561.395,9537.115,385000,269500,245000,171500
"57 DUNBAR LA",14039.3981,11491.2504,430300,301210,295200,206640
"66 DUNBAR LA",15073.674,12768.055999999999,462000,323400,328000,229599.99999999997
"67 DUNBAR LA",15452.1472,13309.1413,473600,331520,341900,239329.99999999997
"76 DUNBAR LA",16548.4144,13854.119299999998,507200,355040,355900,249129.99999999997
"77 DUNBAR LA",14466.811800000001,12250.3269,443400,310380,314700,220290
"86 DUNBAR LA",14313.4649,12293.1466,438700,307090,315800,221060
"87 DUNBAR LA",16166.6785,14383.526499999998,495500,346850,369500,258649.99999999997
"96 DUNBAR LA",13419.4851,10101.5565,411300,287910,259500,181650
"97 DUNBAR LA",15435.8337,13289.6778,473100,331170,341400,238979.99999999997
"107 DUNBAR LA",15240.071699999999,13710.089399999999,467100,326970,352200,246539.99999999997
"116 DUNBAR LA",17824.130100000002,16388.267,546300,382410,421000,294700
"117 DUNBAR LA",15070.411300000002,12849.802699999997,461900,323330,330100,231069.99999999997
"127 DUNBAR LA",12779.9959,10121.02,391700,274190,260000,182000
"137 DUNBAR LA",12871.3515,10272.8353,394500,276150,263900,184730
"147 DUNBAR LA",12652.7506,9416.4413,387800,271460,241900,169330
"157 DUNBAR LA",12773.4705,9467.046400000001,391500,274050,243200,170240
"7 DUNN RD",11582.584999999997,8770.2531,355000,248499.99999999997,225300,157710
"14 DUNN RD",11501.017499999998,8645.686699999998,352500,246749.99999999997,222100,155470
"21 DUNN RD",10832.163999999999,8143.5284,332000,232399.99999999997,209200,146440
"22 DUNN RD",9732.6341,7275.456299999999,298300,208810,186900,130829.99999999999
"31 DUNN RD",10903.943399999998,8174.67,334200,233939.99999999997,210000,147000
"32 DUNN RD",11419.449999999999,8622.3305,350000,244999.99999999997,221500,155050
"40 DUNN RD",12584.233900000001,9657.7887,385700,269990,248100,173670
"41 DUNN RD",11233.476099999998,8135.743,344300,241009.99999999997,209000,146300
"49 DUNN RD",9641.2785,7092.4994,295500,206850,182200,127539.99999999999
"50 DUNN RD",10939.833099999998,8575.6181,335300,234709.99999999997,220300,154210
"58 DUNN RD",10186.1494,7941.108,312200,218540,204000,142800
"59 DUNN RD",10913.731499999998,8307.0218,334500,234149.99999999997,213400,149380
"67 DUNN RD",10332.9709,7563.5161,316700,221690,194300,136010
"74 DUNN RD",10332.9709,7781.5073,316700,221690,199900,139930
"75 DUNN RD",11236.7388,8945.4246,344400,241079.99999999997,229800,160860
"83 DUNN RD",10806.062399999999,8314.8072,331200,231839.99999999997,213600,149520
"84 DUNN RD",9272.5934,6862.830099999998,284200,198940,176300,123409.99999999999
"95 DUNN RD",12329.7433,9101.132599999999,377900,264530,233800,163660
"98 DUNN RD",12016.524099999997,9260.7333,368300,257809.99999999997,237900,166530
"103 DUNN RD",12003.4733,9128.3815,367900,257529.99999999997,234500,164150
"108 DUNN RD",11487.966699999999,8727.4334,352100,246469.99999999997,224200,156940
"113 DUNN RD",11980.634399999999,9046.634800000002,367200,257039.99999999997,232400,162680
"120 DUNN RD",10939.833099999998,8240.8459,335300,234709.99999999997,211700,148190
"123 DUNN RD",11794.660499999998,8949.3173,361500,253049.99999999997,229900,160930
"2 EARL AVE",12714.7419,10342.903900000001,389700,272790,265700,185990
"4 EARL AVE",15011.6827,11604.1387,460100,322070,298100,208670
"14 EARL AVE",13060.588099999999,9949.741199999999,400300,280210,255600,178920
"15 EARL AVE",7487.8965,5881.8697,229500,160650,151100,105770
"18 EARL AVE",9138.822699999999,7906.0737,280100,196070,203100,142170
"21 EARL AVE",14107.9148,11339.435099999999,432400,302680,291300,203910
"33 EARL AVE",9970.8112,7376.6665,305600,213920,189500,132650
"36 EARL AVE",10146.997,7606.3358,311000,217700,195400,136780
"46 EARL AVE",10531.9956,8011.1766,322800,225960,205800,144060
"49 EARL AVE",10274.2423,7785.4,314900,220430,200000,140000
"56 EARL AVE",9566.2364,7291.027099999999,293200,205240,187300,131110
"68 EARL AVE",11230.213399999999,8634.0086,344200,240939.99999999997,221800,155260
"80 EARL AVE",10192.6748,8373.1977,312400,218680,215100,150570
"89 EARL AVE",12505.9291,10054.8441,383300,268310,258300,180810
"96 EARL AVE",11083.391899999999,9097.2399,339700,237789.99999999997,233700,163590
"101 EARL AVE",14855.0731,12191.9364,455300,318710,313200,219240
"108 EARL AVE",13383.5954,10486.9338,410200,287140,269400,188580
"115 EARL AVE",10913.731499999998,7851.575900000001,334500,234149.99999999997,201700,141190
"118 EARL AVE",11572.7969,9066.098300000001,354700,248289.99999999997,232900,163030
"128 EARL AVE",10890.892599999997,7742.5803,333800,233659.99999999997,198900,139230
"138 EARL AVE",13073.6389,10136.5908,400700,280490,260400,182280
"148 EARL AVE",12417.8362,9556.5785,380600,266420,245500,171850
"157 EARL AVE",10522.2075,8338.163400000001,322500,225750,214200,149940
"158 EARL AVE",11331.357099999997,9852.4237,347300,243109.99999999997,253100,177170
"169 EARL AVE",11634.788199999999,9229.591699999999,356600,249619.99999999997,237100,165970
"170 EARL AVE",11148.645899999998,9284.0895,341700,239189.99999999997,238500,166950
"1 EARL AVE EXT",13735.967,10864.5257,421000,294700,279100,195370
"3 EARL AVE EXT",13350.9684,10280.6207,409200,286440,264100,184870
"5 EARL AVE EXT",14610.3706,13157.325999999997,447800,313460,338000,236599.99999999997
"7 EARL AVE EXT",12388.4719,9918.5996,379700,265790,254800,178360
"9 EARL AVE EXT",15223.758199999998,12787.519499999999,466600,326620,328500,229949.99999999997
"1 EARL AVE EXT",13735.967,10864.5257,421000,294700,279100,195370
"3 EARL AVE EXT",13350.9684,10280.6207,409200,286440,264100,184870
"5 EARL AVE EXT",14610.3706,13157.325999999997,447800,313460,338000,236599.99999999997
"7 EARL AVE EXT",12388.4719,9918.5996,379700,265790,254800,178360
"9 EARL AVE EXT",15223.758199999998,12787.519499999999,466600,326620,328500,229949.99999999997
"7 EAST CLOVER CR",8926.7472,6722.692899999999,273600,191520,172700,120889.99999999999
"15 EAST CLOVER CR",8851.7051,6578.662999999999,271300,189910,169000,118299.99999999999
"20 EAST CLOVER CR",7876.1578,6014.2215,241400,168980,154500,108150
"23 EAST CLOVER CR",10039.3279,7427.2716,307700,215390,190800,133560
"28 EAST CLOVER CR",9879.4556,7045.786999999999,302800,211960,181000,126699.99999999999
"29 EAST CLOVER CR",9540.134800000002,6917.327899999999,292400,204680,177700,124389.99999999999
"38 EAST CLOVER CR",9846.828599999999,7516.8037,301800,211260,193100,135170
"39 EAST CLOVER CR",9686.956300000002,7407.808099999999,296900,207830,190300,133210
"50 EAST CLOVER CR",9213.864800000001,6964.040299999999,282400,197680,178900,125229.99999999999
"1 EAST GATE LA #U1",6496.0357,3974.4467,199100,139370,102100,71470
"2 EAST GATE LA #U2",7204.0416,4690.7035,220800,154560,120500,84350
"3 EAST GATE LA #U3",7925.0983,5188.969099999999,242900,170030,133300,93310
"4 EAST GATE LA #U4",8381.8763,5457.5654,256900,179830,140200,98140
"5 EAST GATE LA #U5",7174.677299999999,4655.6692,219900,153930,119600,83720
"6 EAST GATE LA #U6",7282.3464,4764.6648,223200,156240,122400,85680
"7 EAST GATE LA #U7",7174.677299999999,4655.6692,219900,153930,119600,83720
"8 EAST GATE LA #U8",7318.2361,4799.6991,224300,157010,123300,86310
"9 EAST GATE LA #U9",7217.0924,4706.2743,221200,154840,120900,84630
"10 EAST GATE LA #U10",7618.4045,4698.4889,233500,163450,120700,84490
"11 EAST GATE LA #U11",7217.0924,4706.2743,221200,154840,120900,84630
"12 EAST GATE LA #U12",7174.677299999999,4675.1327,219900,153930,120100,84070
"13 EAST GATE LA #U13",7246.456700000001,4698.4889,222100,155470,120700,84490
"14 EAST GATE LA #U14",7246.456700000001,4698.4889,222100,155470,120700,84490
"15 EAST GATE LA #U15",8440.6049,5492.5997,258700,181090,141100,98770
"16 EAST GATE LA #U16",8440.6049,5492.5997,258700,181090,141100,98770
"17 EAST GATE LA #U17",8440.6049,5492.5997,258700,181090,141100,98770
"18 EAST GATE LA #U18",8649.4177,5621.0588,265100,185570,144400,101080
"19 EAST GATE LA #U19",8440.6049,5492.5997,258700,181090,141100,98770
"20 EAST GATE LA #U20",8440.6049,5492.5997,258700,181090,141100,98770
"21 EAST GATE LA #U21",8016.4538999999995,5418.638400000001,245700,171990,139200,97440
"22 EAST GATE LA #U22",7993.615,5033.2611,245000,171500,129300,90510
"23 EAST GATE LA #U23",8440.6049,5492.5997,258700,181090,141100,98770
"24 EAST GATE LA #U24",8440.6049,5492.5997,258700,181090,141100,98770
"25 EAST GATE LA #U25",8450.393,5426.4238,259000,181300,139400,97580
"26 EAST GATE LA #U26",8564.5875,5570.4537,262500,183750,143100,100170
"27 EAST GATE LA #U27",7938.1491,5200.6472,243300,170310,133600,93520
"28 EAST GATE LA #U28",7853.318899999999,5153.9348,240700,168490,132400,92680
"29 EAST GATE LA #U29",8512.384300000002,5539.312099999999,260900,182630,142300,99610
"30 EAST GATE LA #U30",7357.3885,4811.3772,225500,157850,123600,86520
"31 EAST GATE LA #U31",7758.700599999999,5371.926,237800,166460,138000,96600
"32 EAST GATE LA #U32",7331.2869,4815.2699,224700,157290,123700,86590
"33 EAST GATE LA #U33",7513.9981,4920.3728,230300,161210,126400,88480
"34 EAST GATE LA #U34",7360.6512,4834.7334,225600,157920,124200,86940
"35 EAST GATE LA #U35",7174.677299999999,4655.6692,219900,153930,119600,83720
"36 EAST GATE LA #U36",7181.2027,4636.2057,220100,154070,119100,83370
"37 EAST GATE LA #U37",7295.3972,4776.342900000001,223600,156520,122700,85890
"38 EAST GATE LA #U38",7295.3972,4776.342900000001,223600,156520,122700,85890
"39 EAST GATE LA #U39",7174.677299999999,4655.6692,219900,153930,119600,83720
"40 EAST GATE LA #U40",7236.6686,4655.6692,221800,155260,119600,83720
"41 EAST GATE LA #U41",7174.677299999999,4655.6692,219900,153930,119600,83720
"42 EAST GATE LA #U42",7174.677299999999,4655.6692,219900,153930,119600,83720
"43 EAST GATE LA #U43",7533.5743,5048.8319,230900,161630,129700,90790
"44 EAST GATE LA #U44",7174.677299999999,4655.6692,219900,153930,119600,83720
"45 EAST GATE LA #U45",7174.677299999999,4655.6692,219900,153930,119600,83720
"46 EAST GATE LA #U46",7817.4292000000005,5079.9735,239600,167720,130500,91350
"47 EAST GATE LA #U47",7817.4292000000005,5079.9735,239600,167720,130500,91350
"48 EAST GATE LA #U48",7817.4292000000005,5079.9735,239600,167720,130500,91350
"49 EAST GATE LA #U49",7866.3697,5138.364,241100,168770,132000,92400
"50 EAST GATE LA #U50",8616.7907,5667.7712,264100,184870,145600,101920
