PER,JNL,SRC,EFF_DATE,REFERENCE,BEG_BALANCE,DEBITS,CREDITS,NET_CHANGE,END_BALANCE
2,242,GEN,08/25/23, ZBA ZBA BOE PR 8-21 to 8-25,,.00,26220.65,11756085.27,
2,244,GEN,08/30/23, AUG23 TAX to GEN FUND,,11000000.00,0,22756085.27,
2,252,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,1492.56,0,22757577.83,
2,253,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,1163.40,0,22758741.23,
2,255,GEN,08/31/23, ZBA ZBA TOWN AP 8-28 to 8-31-23,,.00,513565.61,22245175.62,
2,255,GEN,08/31/23, ZBA ZBA TOWN PR 8-28 to 8-31-23,,.00,564601.55,21680574.07,
2,255,GEN,08/31/23, ZBA ZBA BOE AP 8-28 to 8-31-23,,.00,336015.02,21344559.05,
2,255,GEN,08/31/23, ZBA ZBA BOE PR 8-28 to 8-31-23,,.00,11853.64,21332705.41,
2,256,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,150.00,0,21332855.41,
2,257,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,506.70,0,21333362.11,
2,258,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,6831.98,0,21340194.09,
2,259,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,1219.50,0,21341413.59,
2,260,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,718.64,0,21342132.23,
2,263,CRP,08/31/23, GB CASH RECEIPTS JOURNAL,,19218.09,0,21361350.32,
2,264,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,841.02,0,21362191.34,
2,265,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,9549.38,0,21371740.72,
2,266,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,31838.10,0,21403578.82,
2,267,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,79.99,0,21403658.81,
2,268,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,33.81,0,21403692.62,
2,269,CRP,08/03/23, MS CASH RECEIPTS JOURNAL,,250221.00,0,21653913.62,
2,275,CRP,08/28/23, MS CASH RECEIPTS JOURNAL,,5375.50,0,21659289.12,
2,276,CRP,08/29/23, MS CASH RECEIPTS JOURNAL,,9156.50,0,21668445.62,
2,277,CRP,08/30/23, MS CASH RECEIPTS JOURNAL,,10987.00,0,21679432.62,
2,278,CRP,08/31/23, MS CASH RECEIPTS JOURNAL,,8238.00,0,21687670.62,
2,310,CRP,08/02/23, MS CASH RECEIPTS JOURNAL,,29551.26,0,21717221.88,
2,311,CRP,08/12/23, MS CASH RECEIPTS JOURNAL,,15962.50,0,21733184.38,
2,313,GRV,08/22/23, MS,,.00,15962.5,21717221.88,
2,318,GRV,08/18/23, MS,,.00,1837,21715384.88,
2,319,GRV,08/18/23, MS,,.00,1425,21713959.88,
2,323,CRP,08/17/23, 05 CASH RECEIPTS JOURNAL,,300.00,0,21714259.88,
2,324,CRP,08/12/23, 05 CASH RECEIPTS JOURNAL,,114292.65,0,21828552.53,
2,329,CRP,08/12/23, 05 CASH RECEIPTS JOURNAL,,15962.50,0,21844515.03,
2,335,CRP,08/15/23, 05 CASH RECEIPTS JOURNAL,,.00,0,21844515.03,
2,344,GEN,08/30/23,,,500000.00,0,22344515.03,
2,348,GRV,08/30/23,,,.00,5e+05,21844515.03,
2,349,GEN,08/31/23,,,.00,5e+05,21344515.03,
2,352,GRV,08/31/23,,,500000.00,0,21844515.03,
2,353,GEN,08/31/23,,,500000.00,0,22344515.03,
2,359,GEN,08/31/23, Tax,,13073.38,0,22357588.41,
2,360,GRV,08/31/23, Tax,,.00,13073.38,22344515.03,
2,366,CRP,08/15/23, 05 CASH RECEIPTS JOURNAL,,.00,0,22344515.03,
2,382,GRV,08/15/23, 05,,.00,0,22344515.03,
2,404,GRV,08/01/23, MS,,6129.00,0,22350644.03,
2,405,CRP,08/08/23, 05 CASH RECEIPTS JOURNAL,,591.15,0,22351235.18,
2,406,GEN,08/31/23, ADJ,,.00,1924451.99,20426783.19,
2,406,GEN,08/31/23, ADJ,,2025455.37,0,22452238.56,
3,5,GEN,09/01/23, ZBA ZBA TOWN AP 9-1-23,,.00,15032.79,22437205.77,
3,5,GEN,09/01/23, ZBA ZBA TOWN PR 9-1-23,,.00,239567.66,22197638.11,
3,5,GEN,09/01/23, ZBA ZBA BOE AP 9-1-23,,.00,115087.17,22082550.94,
3,5,GEN,09/01/23, ZBA ZBA BOE PR 9-1-23,,.00,2376446.68,19706104.26,
3,18,CRP,09/05/23, MS CASH RECEIPTS JOURNAL,,515.00,0,19706619.26,
3,19,CRP,09/01/23, MS CASH RECEIPTS JOURNAL,,13050.50,0,19719669.76,
3,20,CRP,09/05/23, MS CASH RECEIPTS JOURNAL,,17737.00,0,19737406.76,
3,21,CRP,09/05/23, MS CASH RECEIPTS JOURNAL,,870.00,0,19738276.76,
3,22,CRP,09/05/23, MS CASH RECEIPTS JOURNAL,,3950.00,0,19742226.76,
3,23,CRP,09/05/23, MS CASH RECEIPTS JOURNAL,,18117.78,0,19760344.54,
3,24,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,25.00,0,19760369.54,
3,25,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,1026.72,0,19761396.26,
3,26,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,5646.96,0,19767043.22,
3,27,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,5133.60,0,19772176.82,
3,29,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,1026.72,0,19773203.54,
3,30,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,150.00,0,19773353.54,
3,31,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,1087.50,0,19774441.04,
3,32,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,1687.50,0,19776128.54,
3,33,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,855.60,0,19776984.14,
3,34,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,220.00,0,19777204.14,
3,36,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,3780.75,0,19780984.89,
3,37,CRP,09/05/23, GB CASH RECEIPTS JOURNAL,,11822.65,0,19792807.54,
3,45,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,10033.79,0,19802841.33,
3,46,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,2621.76,0,19805463.09,
3,47,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,2964.86,0,19808427.95,
3,49,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,4244.38,0,19812672.33,
3,50,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,4838.02,0,19817510.35,
3,51,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,1603.12,0,19819113.47,
3,52,CRP,09/11/23, GB CASH RECEIPTS JOURNAL,,1372.84,0,19820486.31,
3,59,CRP,09/12/23, GB CASH RECEIPTS JOURNAL,,427.80,0,19820914.11,
3,69,CRP,09/13/23, GB CASH RECEIPTS JOURNAL,,1547.84,0,19822461.95,
3,71,CRP,09/13/23, GB CASH RECEIPTS JOURNAL,,2253.44,0,19824715.39,
3,76,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,21.81,0,19824737.20,
3,81,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,5840.81,0,19830578.01,
3,84,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,14764.00,0,19845342.01,
3,85,CRP,09/08/23, MS CASH RECEIPTS JOURNAL,,11328.00,0,19856670.01,
3,86,CRP,09/06/23, MS CASH RECEIPTS JOURNAL,,10.00,0,19856680.01,
3,87,CRP,09/08/23, MS CASH RECEIPTS JOURNAL,,10.00,0,19856690.01,
3,88,CRP,09/08/23, MS CASH RECEIPTS JOURNAL,,9143.50,0,19865833.51,
3,89,CRP,09/06/23, MS CASH RECEIPTS JOURNAL,,14776.00,0,19880609.51,
3,90,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,1091.70,0,19881701.21,
3,91,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,7719.22,0,19889420.43,
3,92,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,3.00,0,19889423.43,
3,93,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,3356.00,0,19892779.43,
3,94,CRP,09/11/23, MS CASH RECEIPTS JOURNAL,,5570.00,0,19898349.43,
3,103,CRP,09/14/23, MS CASH RECEIPTS JOURNAL,,6055.00,0,19904404.43,
3,104,CRP,09/14/23, MS CASH RECEIPTS JOURNAL,,50.00,0,19904454.43,
3,105,CRP,09/15/23, MS CASH RECEIPTS JOURNAL,,42680.74,0,19947135.17,
3,106,CRP,09/14/23, MS CASH RECEIPTS JOURNAL,,852.76,0,19947987.93,
3,108,CRP,09/14/23, MS CASH RECEIPTS JOURNAL,,960.00,0,19948947.93,
3,109,CRP,09/14/23, MS CASH RECEIPTS JOURNAL,,150.00,0,19949097.93,
3,110,GEN,09/08/23, ZBA ZBA TOWN AP 9-4 to 9-8,,.00,8095783.09,11853314.84,
3,110,GEN,09/08/23, ZBA ZBA TOWN PR 9-4 to 9-8,,.00,920747.42,10932567.42,
3,110,GEN,09/08/23, ZBA ZBA BOE AP 9-4 to 9-8,,.00,157564.44,10775002.98,
3,110,GEN,09/08/23, ZBA ZBA BOE PR 9-4 to 9-8,,.00,119894.92,10655108.06,
3,111,CRP,09/13/23, MS CASH RECEIPTS JOURNAL,,10237.50,0,10665345.56,
3,112,GEN,09/13/23, 092323 TAX to GEN FUND,,11000000.00,0,21665345.56,
3,114,GEN,09/15/23, ZBA ZBA TOWN AP 9-11 to 9-15-23,,.00,496862.52,21168483.04,
3,114,GEN,09/15/23, ZBA ZBA TOWN PR 9-11 to 9-15-23,,.00,825601.21,20342881.83,
3,114,GEN,09/15/23, ZBA ZBA BOE AP 9-11 to 9-15-23,,.00,717641.85,19625239.98,
3,114,GEN,09/15/23, ZBA ZBA BOE PR 9-11 to 9-15-23,,.00,2742353.53,16882886.45,
3,141,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,18881.25,0,16901767.70,
3,142,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,1283.40,0,16903051.10,
3,143,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,718.64,0,16903769.74,
3,144,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,844.50,0,16904614.24,
3,145,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,470.58,0,16905084.82,
3,146,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,1283.40,0,16906368.22,
3,147,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,7523.71,0,16913891.93,
3,151,CRP,09/19/23, GB CASH RECEIPTS JOURNAL,,6948.68,0,16920840.61,
3,157,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,4.50,0,16920845.11,
3,158,CRP,09/13/23, MS CASH RECEIPTS JOURNAL,,33739.20,0,16954584.31,
3,159,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,550.00,0,16955134.31,
3,160,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,50.00,0,16955184.31,
3,161,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,300.00,0,16955484.31,
3,162,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,75.00,0,16955559.31,
3,163,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,10.00,0,16955569.31,
3,166,CRP,09/12/23, MS CASH RECEIPTS JOURNAL,,400.00,0,16955969.31,
3,167,CRP,09/12/23, MS CASH RECEIPTS JOURNAL,,10077.00,0,16966046.31,
3,168,CRP,09/12/23, MS CASH RECEIPTS JOURNAL,,180.00,0,16966226.31,
3,169,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,415.00,0,16966641.31,
3,170,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,20.00,0,16966661.31,
3,171,CRP,09/18/23, MS CASH RECEIPTS JOURNAL,,5909.00,0,16972570.31,
3,172,CRP,09/13/23, MS CASH RECEIPTS JOURNAL,,20.00,0,16972590.31,
3,173,CRP,09/12/23, MS CASH RECEIPTS JOURNAL,,9016.50,0,16981606.81,
3,174,CRP,09/12/23, MS CASH RECEIPTS JOURNAL,,13113.50,0,16994720.31,
3,175,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,2476.00,0,16997196.31,
3,176,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,3383.88,0,17000580.19,
3,177,CRP,09/19/23, MS CASH RECEIPTS JOURNAL,,3986.84,0,17004567.03,
3,178,CRP,09/21/23, GB CASH RECEIPTS JOURNAL,,663.36,0,17005230.39,
3,179,CRP,09/21/23, GB CASH RECEIPTS JOURNAL,,17742.85,0,17022973.24,
3,181,GEN,09/20/23, 092023 STATE to G.FUND,,10000000.00,0,27022973.24,
3,181,GEN,09/20/23, 092023 STATE to G.FUND,,.00,1e+07,17022973.24,
3,195,GEN,09/22/23, ZBA ZBA TOWN AP 9-18 to 9-22,,.00,1676938.75,15346034.49,
3,195,GEN,09/22/23, ZBA ZBA TOWN PR 9-18 to 9-22,,.00,755711.07,14590323.42,
3,195,GEN,09/22/23, ZBA ZBA BOE AP 9-18 to 9-22,,.00,283846.6,14306476.82,
3,195,GEN,09/22/23, ZBA ZBA BOE PR 9-18 to 9-22,,.00,357332.52,13949144.30,
3,210,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,718539.11,0,14667683.41,
3,212,CRP,09/20/23, MS CASH RECEIPTS JOURNAL,,9776.30,0,14677459.71,
3,214,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,723.50,0,14678183.21,
3,215,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,1430.00,0,14679613.21,
3,225,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,1368.96,0,14680982.17,
3,226,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,513.36,0,14681495.53,
3,227,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,2566.80,0,14684062.33,
3,228,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,500.00,0,14684562.33,
3,229,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,3208.50,0,14687770.83,
3,230,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,425.00,0,14688195.83,
3,231,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,562.50,0,14688758.33,
3,232,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,4808.26,0,14693566.59,
3,233,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,14543.20,0,14708109.79,
3,234,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,16983.64,0,14725093.43,
3,235,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,9762.28,0,14734855.71,
3,236,CRP,09/27/23, GB CASH RECEIPTS JOURNAL,,17383.23,0,14752238.94,
3,244,CRP,09/29/23, MS CASH RECEIPTS JOURNAL,,7667481.69,0,22419720.63,
3,247,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,7458.40,0,22427179.03,
3,248,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,210.00,0,22427389.03,
3,249,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,6.00,0,22427395.03,
3,252,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,1369.59,0,22428764.62,
3,256,GEN,09/29/23, ZBA ZBA TOWN AP 9-25 to 9-29,,.00,5310214.02,17118550.60,
3,256,GEN,09/29/23, ZBA ZBA TOWN PR 9-25 to 9-29,,.00,708536.27,16410014.33,
3,256,GEN,09/29/23, ZBA ZBA BOE AP 9-25 to 9-29,,.00,891883.56,15518130.77,
3,256,GEN,09/29/23, ZBA ZBA BOE PR 9-25 to 9-29,,.00,2423793.76,13094337.01,
3,257,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,3675.00,0,13098012.01,
3,258,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,355.82,0,13098367.83,
3,259,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,428.60,0,13098796.43,
3,260,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,14986.00,0,13113782.43,
3,261,CRP,09/26/23, MS CASH RECEIPTS JOURNAL,,9269.50,0,13123051.93,
3,262,CRP,09/25/23, MS CASH RECEIPTS JOURNAL,,4689.70,0,13127741.63,
3,263,CRP,09/25/23, MS CASH RECEIPTS JOURNAL,,9219.00,0,13136960.63,
3,264,CRP,09/22/23, MS CASH RECEIPTS JOURNAL,,11445.50,0,13148406.13,
3,265,CRP,09/16/23, MS CASH RECEIPTS JOURNAL,,10.00,0,13148416.13,
3,266,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,27.50,0,13148443.63,
3,267,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,30.30,0,13148473.93,
3,268,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,488.00,0,13148961.93,
3,269,CRP,09/21/23, MS CASH RECEIPTS JOURNAL,,66.40,0,13149028.33,
3,270,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,71745.36,0,13220773.69,
3,271,CRP,09/27/23, MS CASH RECEIPTS JOURNAL,,150.00,0,13220923.69,
3,280,CRP,09/29/23, MS CASH RECEIPTS JOURNAL,,4755.00,0,13225678.69,
3,281,CRP,09/28/23, MS CASH RECEIPTS JOURNAL,,12578.00,0,13238256.69,
3,386,GEN,09/27/23, ADJ,,5750.00,0,13244006.69,
3,386,GEN,09/27/23, ADJ,,759.07,0,13244765.76,
3,387,CRP,09/05/23, 05 CASH RECEIPTS JOURNAL,,75.00,0,13244840.76,
3,388,GEN,09/30/23, ADJ,,50.00,0,13244890.76,
3,388,GEN,09/30/23, ADJ,,60.00,0,13244950.76,
3,389,CRP,09/13/23, 05 CASH RECEIPTS JOURNAL,,250.00,0,13245200.76,
3,390,GRV,09/30/23, ADJ,,.00,50,13245150.76,
3,390,GRV,09/30/23, ADJ,,.00,60,13245090.76,
3,391,GEN,09/30/23, ADJ,,74640.31,0,13319731.07,
4,4,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,3208.50,0,13322939.57,
4,6,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,300.00,0,13323239.57,
4,7,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,513.36,0,13323752.93,
4,8,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,175.00,0,13323927.93,
4,9,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,9240.42,0,13333168.35,
4,10,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,513.36,0,13333681.71,
4,11,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,100.00,0,13333781.71,
4,12,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,1615.08,0,13335396.79,
4,13,CRP,10/02/23, GB CASH RECEIPTS JOURNAL,,3337.92,0,13338734.71,
4,25,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,200.00,0,13338934.71,
4,28,GRV,10/02/23, MS,,.00,200,13338734.71,
4,29,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,200.00,0,13338934.71,
4,30,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,2180.00,0,13341114.71,
4,31,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,3596.72,0,13344711.43,
4,32,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,20153.58,0,13364865.01,
4,33,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,275.00,0,13365140.01,
4,38,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,410.00,0,13365550.01,
4,39,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,63.50,0,13365613.51,
4,40,CRP,10/02/23, MS CASH RECEIPTS JOURNAL,,4113.00,0,13369726.51,
4,41,GEN,10/03/23, 100323 STATE to GEN FUND,,20000000.00,0,33369726.51,
4,41,GEN,10/03/23, 100323 STATE to GEN FUND,,.00,2e+07,13369726.51,
4,51,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,3080.16,0,13372806.67,
4,53,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,1796.76,0,13374603.43,
4,54,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,375.00,0,13374978.43,
4,55,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,10288.58,0,13385267.01,
4,60,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,562.50,0,13385829.51,
4,61,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,4192.44,0,13390021.95,
4,70,CRP,10/10/23, 10 CASH RECEIPTS JOURNAL,,10484.00,0,13400505.95,
4,73,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,855.60,0,13401361.55,
4,75,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,1326.72,0,13402688.27,
4,76,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,588.36,0,13403276.63,
4,77,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,2344.28,0,13405620.91,
4,79,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,39335.93,0,13444956.84,
4,80,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,2103.44,0,13447060.28,
4,81,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,5498.58,0,13452558.86,
4,82,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,9186.55,0,13461745.41,
4,86,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,427.80,0,13462173.21,
4,87,CRP,10/12/23, 05 CASH RECEIPTS JOURNAL,,17658.47,0,13479831.68,
4,99,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,634.37,0,13480466.05,
4,115,CRP,10/07/23, 05 CASH RECEIPTS JOURNAL,,13549.29,0,13494015.34,
4,116,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,331.56,0,13494346.90,
4,117,CRP,10/03/23, 05 CASH RECEIPTS JOURNAL,,14895.50,0,13509242.40,
4,118,CRP,10/05/23, 05 CASH RECEIPTS JOURNAL,,9804.00,0,13519046.40,
4,119,CRP,10/03/23, 05 CASH RECEIPTS JOURNAL,,12837.00,0,13531883.40,
4,120,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,27160.06,0,13559043.46,
4,124,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,2202.50,0,13561245.96,
4,126,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,9.00,0,13561254.96,
4,131,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,16882.80,0,13578137.76,
4,132,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,2522.98,0,13580660.74,
4,133,CRP,10/11/23, 05 CASH RECEIPTS JOURNAL,,50.00,0,13580710.74,
4,134,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,325.00,0,13581035.74,
4,135,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,100.00,0,13581135.74,
4,136,CRP,10/06/23, 05 CASH RECEIPTS JOURNAL,,50.00,0,13581185.74,
4,151,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,8983.80,0,13590169.54,
4,152,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,375.00,0,13590544.54,
4,153,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1283.40,0,13591827.94,
4,154,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1026.72,0,13592854.66,
4,155,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,506.70,0,13593361.36,
4,156,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,598.92,0,13593960.28,
4,158,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,2994.58,0,13596954.86,
4,159,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,2695.14,0,13599650.00,
4,160,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1330.10,0,13600980.10,
4,161,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,3056.27,0,13604036.37,
4,162,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1796.76,0,13605833.13,
4,163,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,2795.68,0,13608628.81,
4,164,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1368.96,0,13609997.77,
4,179,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,684.48,0,13610682.25,
4,180,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,4991.36,0,13615673.61,
4,189,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,663.36,0,13616336.97,
4,190,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1625.64,0,13617962.61,
4,191,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,3080.16,0,13621042.77,
4,192,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1283.40,0,13622326.17,
4,193,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1411.74,0,13623737.91,
4,194,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1197.84,0,13624935.75,
4,195,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1362.28,0,13626298.03,
4,196,CRP,10/21/23, 05 CASH RECEIPTS JOURNAL,,1283.40,0,13627581.43,
4,197,CRP,10/24/23, 05 CASH RECEIPTS JOURNAL,,855.60,0,13628437.03,
4,226,CRP,10/27/23, 05 CASH RECEIPTS JOURNAL,,1711.20,0,13630148.23,
4,241,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,65442.08,0,13695590.31,
4,244,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,3672.50,0,13699262.81,
4,245,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,1012.34,0,13700275.15,
4,246,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,3305.00,0,13703580.15,
4,247,CRP,10/18/23, 05 CASH RECEIPTS JOURNAL,,8722.00,0,13712302.15,
4,248,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,5174.50,0,13717476.65,
4,251,CRP,10/20/23, 05 CASH RECEIPTS JOURNAL,,5090.58,0,13722567.23,
4,252,CRP,10/19/23, 05 CASH RECEIPTS JOURNAL,,3.00,0,13722570.23,
4,253,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,200.00,0,13722770.23,
4,254,CRP,10/23/23, 05 CASH RECEIPTS JOURNAL,,753.00,0,13723523.23,
4,255,CRP,10/25/23, 05 CASH RECEIPTS JOURNAL,,150.00,0,13723673.23,
4,256,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1185.00,0,13724858.23,
4,257,CRP,10/13/23, 05 CASH RECEIPTS JOURNAL,,48337.00,0,13773195.23,
4,258,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,350.00,0,13773545.23,
4,259,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1065.28,0,13774610.51,
4,260,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,91184.78,0,13865795.29,
4,261,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,2364.98,0,13868160.27,
4,263,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1698.22,0,13869858.49,
4,264,GEN,10/06/23, ZBA ZBA TOWN AP 10-2to10-06-23,,.00,593182.3,13276676.19,
4,264,GEN,10/06/23, ZBA ZBA TOWN PR 10-2to10-06-23,,.00,789611.82,12487064.37,
4,264,GEN,10/06/23, ZBA ZBA BOE AP 10-2to10-06-23,,.00,497329.05,11989735.32,
4,264,GEN,10/06/23, ZBA ZBA BOE PR 10-2to10-06-23,,.00,331744.52,11657990.80,
4,265,CRP,10/17/23, 05 CASH RECEIPTS JOURNAL,,1965.08,0,11659955.88,
