address,appraisal,sale_date,sale_price,use_code,use_description,zone,neighborhood,acres,land_value,style,model,grade,hist_land_value,hist_total_value,street_url,status
90 CHESTER ST ,302200,05/21/1993,0,1010,Single Fam M01,R4,65,0.14,76500,Colonial,Residential,C,42400,194000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
95 CHESTER ST ,281600,05/14/2018,220000,1010,Single Fam M01,R4,65,0.16,78900,Cape Cod,Residential,C,43700,175500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
96 CHESTER ST ,325100,11/12/2019,240000,1010,Single Fam M01,R4,65,0.2,82700,Colonial,Residential,C,45800,199300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
102 CHESTER ST ,377500,07/01/2019,249900,1010,Single Fam M01,R4,65,0.24,86500,Colonial,Residential,C,47900,247400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
103 CHESTER ST ,301900,01/05/2022,91625,1010,Single Fam M01,R4,65,0.19,81800,Cape Cod,Residential,C,45300,187100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
113 CHESTER ST ,282900,06/14/2022,308000,1010,Single Fam M01,R4,65,0.22,84600,Cape Cod,Residential,C,46900,164200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
119 CHESTER ST ,269700,03/18/2024,0,1010,Single Fam M01,R4,65,0.2,82700,Cape Cod,Residential,C,45800,165400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
122 CHESTER ST ,263700,05/29/2018,180000,1010,Single Fam M01,R4,65,0.18,80800,Cape Cod,Residential,C,44800,163200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
125 CHESTER ST ,294600,08/05/2024,330000,1010,Single Fam M01,R4,65,0.2,82700,Cape Cod,Residential,C,45800,155000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
128 CHESTER ST ,275800,08/23/2022,295000,1010,Single Fam M01,R4,65,0.16,78900,Cape Cod,Residential,C,43700,159600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
131 CHESTER ST ,261700,01/11/2007,0,1010,Single Fam M01,R4,65,0.2,82700,Cape Cod,Residential,C,45800,166000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
134 CHESTER ST ,254100,08/03/2016,169000,1010,Single Fam M01,R4,65,0.15,78000,Cape Cod,Residential,C,43200,156900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
137 CHESTER ST ,324900,11/15/2019,215000,1010,Single Fam M01,R4,65,0.2,82700,Cape Cod,Residential,C,45800,207500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
140 CHESTER ST ,283300,03/08/2010,0,1010,Single Fam M01,R4,65,0.15,78000,Colonial,Residential,C,43200,179200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
141 CHESTER ST ,259000,11/07/2023,0,1010,Single Fam M01,R4,65,0.19,81800,Cape Cod,Residential,C,45300,165900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
146 CHESTER ST ,249200,11/09/2023,0,1010,Single Fam M01,R4,65,0.17,79900,Cape Cod,Residential,C,44200,153600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
147 CHESTER ST ,248900,07/25/1994,0,1010,Single Fam M01,R4,65,0.21,83700,Cape Cod,Residential,C,46300,156900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTER%20ST,success
40 CHESTNUT LA,337900,07/20/2012,200000,1010,Single Fam M01,R1,133,1.67,79100,Ranch,Residential,C +,52200,217600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
60 CHESTNUT LA,221700,01/11/2006,0,1010,Single Fam M01,R1,133,0.97,73500,Ranch,Residential,C,46800,140100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
61 CHESTNUT LA ,651500,04/14/2000,0,1090,Multi Hses,R1,133,4.51,90100,Ranch,Residential,C +,64500,440200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
100 CHESTNUT LA,380600,03/26/2004,0,1010,Single Fam M01,R1,133,2.79,87500,Ranch,Residential,C +,60600,255900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
111 CHESTNUT LA,583600,02/03/2020,448000,1010,Single Fam M01,R1,133,4.5,92500,Cape Cod,Residential,B,65600,440100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
145 CHESTNUT LA,3100,11/02/2022,0,1320,Vacant Unb M00,R1,133,0.83,3100,Vacant Land,       ,       ,3100,3100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
155 CHESTNUT LA,NA,02/05/2024,0,1010,Single Fam M01,R1,133,2.8,87600,Contemporary,Residential,A-,60700,992800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
160 CHESTNUT LA,409000,10/20/2009,349900,1010,Single Fam M01,R1,133,2.3,98900,Ranch,Residential,B -,72000,276900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
167 CHESTNUT LA,998300,07/11/2022,0,1090,Multi Hses,R1,133,6.45,101100,Cape Cod,Residential,B,75500,709300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
175 CHESTNUT LA,457400,11/02/2022,607000,1010,Single Fam M01,R1,133,4.2,88400,Contemporary,Residential,B,62800,344200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
185 CHESTNUT LA ,675500,01/02/2019,245000,1010,Single Fam M01,R1,133,3.6,87800,Contemporary,Residential,B +,60900,494500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
275 CHESTNUT LA,757900,04/08/1987,0,1010,Single Fam M01,R1,133,6.82,130800,Ranch,Residential,B +,138500,533300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
315 CHESTNUT LA,839300,10/22/2014,0,1010,Single Fam M01,R1,133,6.1,102800,Colonial,Residential,B +,110500,661100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
325 CHESTNUT LA ,602000,09/22/1999,85000,1010,Single Fam M01,R1,133,3.11,86000,Cape Cod,Residential,B,102400,426000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
335 CHESTNUT LA ,453700,06/19/2002,0,1010,Single Fam M01,R1,133,2.23,81000,Ranch,Residential,B -,93800,342600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
345 CHESTNUT LA ,507300,06/23/2000,70000,1010,Single Fam M01,R1,133,2.45,82300,Colonial,Residential,B,95900,341500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHESTNUT%20LA,success
731 CHOATE AVE,395200,08/21/1980,0,1010,Single Fam M01,R3,100,0.71,91900,Raised Ranch,Residential,C +,64400,253100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
745 CHOATE AVE,386500,07/10/1979,0,1010,Single Fam M01,R3,100,0.8,94000,Raised Ranch,Residential,C +,65900,245700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
758 CHOATE AVE ,358800,08/09/2022,350000,1010,Single Fam M01,R3,100,1.13,100100,Ranch,Residential,C,70600,228300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
761 CHOATE AVE,346600,05/25/2011,0,1010,Single Fam M01,R3,100,0.69,91400,Colonial,Residential,C +,64000,246300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
778 CHOATE AVE,384900,12/30/2020,268000,1010,Single Fam M01,R3,100,0.7,91700,Colonial,Residential,C +,64200,267800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
787 CHOATE AVE,482200,04/02/1986,0,1010,Single Fam M01,R3,100,0.9,106400,Raised Ranch,Residential,C +,78500,337400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
843 CHOATE AVE,383100,10/21/1965,0,1010,Single Fam M01,R3,100,0.75,92800,Raised Ranch,Residential,C +,65000,247600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
850 CHOATE AVE,337000,10/19/2016,0,1010,Single Fam M01,R3,100,0.64,90200,Split-Level,Residential,C,63200,229200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
865 CHOATE AVE,341700,06/14/2013,260000,1010,Single Fam M01,R3,100,0.61,89500,Split-Level,Residential,C,62700,231500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
866 CHOATE AVE,358100,01/25/2021,0,1010,Single Fam M01,R3,100,0.57,88600,Colonial,Residential,C +,62100,239400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
877 CHOATE AVE,373900,09/15/1997,0,1010,Single Fam M01,R3,100,2.05,109300,Colonial,Residential,C +,80800,261800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
880 CHOATE AVE,347200,01/12/2001,176000,1010,Single Fam M01,R3,100,0.76,93100,Split-Level,Residential,C,65200,226900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
889 CHOATE AVE ,367200,06/05/2023,494000,1010,Single Fam M01,R3,100,0.47,85600,Colonial,Residential,C +,60000,251000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
890 CHOATE AVE,433400,05/04/1998,165000,1010,Single Fam M01,R3,100,0.62,89700,Colonial,Residential,C +,62900,341500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
901 CHOATE AVE,350300,10/08/2008,0,1010,Single Fam M01,R3,100,0.47,85600,Colonial,Residential,C +,60000,241300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
902 CHOATE AVE,395300,01/22/2021,325000,1010,Single Fam M01,R3,100,0.54,87800,Colonial,Residential,C +,61500,282800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
913 CHOATE AVE,398700,10/21/2005,435000,1010,Single Fam M01,R3,100,0.53,87600,Raised Ranch,Residential,B -,61400,274600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
928 CHOATE AVE,356400,10/20/2021,0,1010,Single Fam M01,R3,100,0.78,93500,Split-Level,Residential,C,65500,226300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
937 CHOATE AVE,381300,08/05/2015,225000,1010,Single Fam M01,R3,100,0.52,87400,Ranch,Residential,C +,61200,254900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
947 CHOATE AVE,371700,08/10/2001,247500,1010,Single Fam M01,R3,100,0.64,90200,Colonial,Residential,C +,63200,256900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
948 CHOATE AVE,372700,02/05/2002,0,1010,Single Fam M01,R3,100,0.48,86000,Colonial,Residential,C +,60300,253200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
958 CHOATE AVE ,454700,06/15/2021,0,1010,Single Fam M01,R3,100,0.48,86000,Split-Level,Residential,C +,60300,287800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
959 CHOATE AVE,346400,09/16/1994,145000,1010,Single Fam M01,R3,100,0.65,90500,Split-Level,Residential,C,63400,225200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
970 CHOATE AVE,340100,08/01/1979,0,1010,Single Fam M01,R3,100,0.64,90200,Raised Ranch,Residential,C +,63200,216200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
971 CHOATE AVE ,370000,04/25/2022,0,1010,Single Fam M01,R3,100,0.62,89700,Split-Level,Residential,C,62900,246800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
982 CHOATE AVE,483000,01/11/2021,0,1040,Two Family M01,R3,100,0.64,90200,Multi Family,Residential,C +,63200,284600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
983 CHOATE AVE ,353800,05/01/2023,349000,1010,Single Fam M01,R3,100,0.69,91400,Colonial,Residential,C +,64000,248300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
983 CHOATE AVE ,2700,05/01/2023,0,4300,TEL X STA,R3,100,0,0,Warehouse,Ind/Comm,NA,0,1900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHOATE%20AVE,success
15 CHURCH ST ,NA,08/01/1924,0,906I,CHURCH  M96,T4,T,0.6,389700,Churches,Ind/Comm,NA,324800,1597900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
18 CHURCH ST ,454200,01/31/2011,0,1050,Three Fam M01,R5,50,0.15,61000,Multi Family,Residential,C,38900,282500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
22 CHURCH ST ,260500,06/07/2010,0,1010,Single Fam M01,R5,50,0.1,55300,Old Style,Residential,C,35200,153900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
24 CHURCH ST ,242900,08/28/2024,266000,1010,Single Fam M01,R5,50,0.1,55300,Old Style,Residential,C,35200,142000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
25 CHURCH ST ,481800,04/02/1938,0,9066,CLRGY HSE,R4,T,0.59,106800,Colonial,Residential,C +,51000,254200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
28 CHURCH ST ,263300,08/04/2015,155000,1010,Single Fam M01,R5,50,0.1,55300,Old Style,Residential,C,35200,163900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
29 CHURCH ST ,281500,07/09/2014,0,1010,Single Fam M01,R4,65,0.3,90000,Old Style,Residential,C,44800,176600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
32 CHURCH ST ,262800,05/18/2000,90000,1012,SFR ADU-ATT,R5,50,0.16,61800,Cape Cod,Residential,C,39400,167100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
35 CHURCH ST ,290500,01/18/2022,255000,1010,Single Fam M01,R4,65,0.3,90000,Bungalow,Residential,C,44800,154400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
36 CHURCH ST ,261700,07/31/2019,160000,1010,Single Fam M01,R5,50,0.16,61800,Colonial,Residential,C,39400,162900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
38 CHURCH ST ,271800,03/30/1998,76500,1010,Single Fam M01,R5,50,0.16,61800,Old Style,Residential,C,39400,174500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
41 CHURCH ST ,372500,10/28/2005,248500,1010,Single Fam M01,R4,65,0.43,96400,Colonial,Residential,C +,48100,243100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
47 CHURCH ST ,277600,01/18/2006,0,1010,Single Fam M01,R4,65,0.28,89000,Old Style,Residential,C -,44300,178800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
48 CHURCH ST ,303100,05/22/2012,0,1010,Single Fam M01,R5,50,0.17,62500,Colonial,Residential,C,39800,193000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
54 CHURCH ST ,296800,10/02/1991,0,1010,Single Fam M01,R5,50,0.17,62500,Colonial,Residential,C,39800,192800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
57 CHURCH ST ,288300,12/27/1999,0,1010,Single Fam M01,R4,65,0.26,88000,Colonial,Residential,C,43800,174800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
58 CHURCH ST ,243200,12/21/2016,0,1010,Single Fam M01,R5,50,0.17,62500,Colonial,Residential,C,39800,170300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
66 CHURCH ST,521700,06/27/2023,467500,1050,Three Fam M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,326600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
67 CHURCH ST ,310700,04/13/2023,0,1040,Two Family M01,R4,65,0.25,87500,Multi Family,Residential,C,43600,179000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
70 CHURCH ST ,428200,01/18/2006,0,1050,Three Fam M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,258200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
71 CHURCH ST ,376400,08/15/2022,360000,1010,Single Fam M01,R4,65,0.28,89000,Colonial,Residential,C +,44300,227900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
74 CHURCH ST ,374400,06/29/1998,120000,1040,Two Family M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,221900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
78 CHURCH ST ,408700,07/22/2003,0,1040,Two Family M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,229000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
82 CHURCH ST ,445800,11/21/2022,420000,1050,Three Fam M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,266500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
86 CHURCH ST ,457900,09/27/2021,0,1050,Three Fam M01,R5,50,0.13,58800,Multi Family,Residential,C,37400,284900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
90 CHURCH ST ,490500,10/18/2024,475000,1050,Three Fam M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,299300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
93 CHURCH ST ,NA,02/11/1913,0,9033,MUN PUB SC M94,R4,65,3.29,NA,School,Comm/Ind,NA,171600,10241600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
94 CHURCH ST ,378600,09/23/2020,0,1040,Two Family M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,219800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
98 CHURCH ST ,384600,10/03/2022,335000,1040,Two Family M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,212700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
104 CHURCH ST ,369200,05/11/2021,0,1040,Two Family M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,219300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
108 CHURCH ST ,350800,06/16/2016,189500,1040,Two Family M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,209300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
111 CHURCH ST ,294700,10/31/2017,149000,1010,Single Fam M01,R4,65,0.27,88500,Colonial,Residential,C,44100,180300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
116 CHURCH ST ,380200,05/06/2002,0,3030,MIXED USE M94,R5,50,0.14,59900,Stores/Apt Com,Comm/Ind,NA,38200,241200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
117 CHURCH ST ,377600,06/26/2007,229000,1040,Two Family M01,R4,65,0.26,88000,Multi Family,Residential,C +,43800,206700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
120 CHURCH ST ,460000,05/03/2000,134000,1050,Three Fam M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,286700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
125 CHURCH ST ,308200,12/02/1983,0,1010,Single Fam M01,R4,65,0.17,79900,Colonial,Residential,C,39800,191000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
126 CHURCH ST ,313300,07/02/2002,103000,1010,Single Fam M01,R5,50,0.15,61000,Colonial,Residential,C,38900,208800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
128 CHURCH ST ,355600,01/02/2025,0,303I,MIXED USE M96,R5,50,0.22,66200,Store,Ind/Comm,C,42200,278200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
129 CHURCH ST ,284400,07/15/2024,0,1010,Single Fam M01,R4,65,0.16,78900,Ranch,Residential,C,39400,168500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
135 CHURCH ST ,294800,11/18/2003,192500,1010,Single Fam M01,R4,65,0.13,75100,Cape Cod,Residential,C,37400,179600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
136 CHURCH ST ,310500,11/04/2022,0,1040,Two Family M01,R5,50,0.17,62500,Multi Family,Residential,C,39800,186800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
142 CHURCH ST ,384400,06/18/2004,249000,1040,Two Family M01,R5,50,0.18,63300,Multi Family,Residential,C,40300,229700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
145 CHURCH ST ,318100,09/01/2004,230000,1012,SFR ADU-ATT,R4,65,0.19,81800,Old Style,Residential,C,40800,196100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
146 CHURCH ST ,312400,09/27/2021,0,1040,Two Family M01,R5,50,0.12,57600,Multi Family,Residential,C,36700,188200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
149 CHURCH ST ,277300,02/18/1942,0,9091,PARISH HSE,R4,65,0.32,91000,Colonial,Residential,C,45300,167500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
150 CHURCH ST ,485400,07/07/1976,0,1050,Three Fam M01,R5,50,0.11,56500,Multi Family,Residential,C,36000,302000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
156 CHURCH ST ,275700,03/07/2024,0,1010,Single Fam M01,R5,50,0.11,56500,Old Style,Residential,C,36000,183300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
160 CHURCH ST ,280800,10/18/2021,150000,1010,Single Fam M01,R5,50,0.27,69200,Old Style,Residential,C,44100,192200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCH%20ST,success
5 CHURCHILL RD ,914700,07/11/2012,675000,1010,Single Fam M01,R4,30,0.53,162100,Colonial,Residential,A +,89300,648900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
14 CHURCHILL RD ,628700,05/07/2019,490000,1010,Single Fam M01,R4,30,0.32,139000,Colonial,Residential,B +,76600,433800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
21 CHURCHILL RD ,596600,06/23/1986,0,1010,Single Fam M01,R4,30,0.37,150300,Colonial,Residential,B +,82800,393700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
22 CHURCHILL RD ,107900,05/07/2019,490000,1300,Vacant M00,R4,30,0.29,107900,Vacant Land,       ,       ,59500,59500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
35 CHURCHILL RD ,710000,08/29/2014,275000,1010,Single Fam M01,R4,30,0.26,141500,Tudor,Residential,A-,77900,497400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
45 CHURCHILL RD,10200,07/19/1946,0,903V,MUNICIPAL  MDL-00,R4,30,0.05,10200,Vacant Land,       ,       ,5600,5600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
52 CHURCHILL RD ,774200,05/02/2017,655000,1010,Single Fam M01,R4,30,0.34,147900,Tudor,Residential,A-,81500,484500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
60 CHURCHILL RD ,593800,06/02/2021,405000,1010,Single Fam M01,R4,30,0.33,147100,Colonial,Residential,B +,81000,388300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
75 CHURCHILL RD ,603200,01/14/2013,427000,1010,Single Fam M01,R4,30,0.3,144700,Colonial,Residential,B +,79700,399300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
88 CHURCHILL RD ,610300,05/08/2017,383800,1010,Single Fam M01,R4,30,0.21,134600,Colonial,Residential,B +,74100,388800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
91 CHURCHILL RD ,714600,07/30/2015,505000,1010,Single Fam M01,R4,30,0.28,143100,Tudor,Residential,A,78800,474900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
105 CHURCHILL RD ,614200,07/29/1994,264000,1010,Single Fam M01,R4,30,0.46,157600,Cape Cod,Residential,B +,86800,403600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
110 CHURCHILL RD ,426700,08/05/2024,499000,1010,Single Fam M01,R4,30,0.26,141500,Ranch,Residential,B -,77900,261700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
124 CHURCHILL RD ,908900,02/28/2020,630000,1010,Single Fam M01,R4,30,0.56,163400,Tudor,Residential,A,90000,616400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CHURCHILL%20RD,success
1 CIRCULAR AVE ,NA,02/13/2020,725000,3400,OFFICE BLD M94,T5,T,0.34,264400,Office Bldg,Comm/Ind,NA,220400,695000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
20 CIRCULAR AVE ,485900,12/23/2021,511000,3410,BANK BLDG,T5,T,0.85,515300,Branch Bank,Comm/Ind,NA,339200,1033600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
44 CIRCULAR AVE ,344400,02/04/2019,1,3510,EDUC BLDG,T5,T,0.26,230400,Library,Comm/Ind,NA,126000,244400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
55 CIRCULAR AVE ,484800,04/28/2015,237500,1040,Two Family M01,T5,T,0.27,92300,Multi Family,Residential,C,44100,283900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
70 CIRCULAR AVE ,NA,10/02/2017,NA,1120,APT Over 8,T4,T,0.16,630000,Apartments,Comm/Ind,NA,337500,1070700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
71 CIRCULAR AVE ,NA,12/19/1949,0,903I,MUNICIPAL M96,T5,T,0.36,290800,Fire Station,Ind/Comm,NA,164800,798300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=CIRCULAR%20AVE,success
